GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assessment,com.medilabo.solutions.assessment.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
assessment,com.medilabo.solutions.assessment.exception,GlobalExceptionHandler,49,26,2,0,12,6,3,3,2,3
assessment,com.medilabo.solutions.assessment.exception,GlobalExceptionHandler.ErrorResponse,0,15,0,0,0,6,0,1,0,1
assessment,com.medilabo.solutions.assessment.exception,FeignException,4,0,0,0,2,0,1,0,1,0
assessment,com.medilabo.solutions.assessment.service,AssessmentService,0,211,3,25,0,38,3,18,0,7
assessment,com.medilabo.solutions.assessment.controller,AssessmentController,0,40,0,0,0,11,0,2,0,2
assessment,com.medilabo.solutions.assessment.dto,DiabetesRiskLevelEnum,3,39,0,0,1,8,1,2,1,2
assessment,com.medilabo.solutions.assessment,AssessmentApplication,5,3,0,0,2,1,1,1,1,1
