GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
note,com.medilabo.solution.note.exception,GlobalExceptionHandler.ErrorResponse,18,0,0,0,6,0,1,0,1,0
note,com.medilabo.solution.note.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
note,com.medilabo.solution.note.exception,GlobalExceptionHandler,58,0,0,0,17,0,4,0,4,0
note,com.medilabo.solution.note.controller,NoteController,28,0,0,0,7,0,4,0,4,0
note,com.medilabo.solution.note.service,NoteService,77,0,2,0,19,0,5,0,4,0
note,com.medilabo.solution.note.mapper,NoteMapperImpl,55,0,4,0,17,0,5,0,3,0
note,com.medilabo.solution.note,NoteApplication,8,0,0,0,3,0,2,0,2,0
