GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patient,com.medilabo.solutions.patient,PatientApplication,5,3,0,0,2,1,1,1,1,1
patient,com.medilabo.solutions.patient.controller,PatientController,9,82,1,1,0,18,1,7,0,7
patient,com.medilabo.solutions.patient.exception,GlobalExceptionHandler.ErrorResponse,0,12,0,0,0,5,0,1,0,1
patient,com.medilabo.solutions.patient.exception,GlobalExceptionHandler,0,26,0,0,0,7,0,3,0,3
patient,com.medilabo.solutions.patient.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
patient,com.medilabo.solutions.patient.service,PatientService,0,93,0,0,0,18,0,8,0,8
patient,com.medilabo.solutions.patient.service,CrudService,25,0,0,0,5,0,5,0,5,0
patient,com.medilabo.solutions.patient.mapper,PatientMapperImpl,79,0,4,0,23,0,5,0,3,0
