GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
front,com.medilabo.solutions.front.controller,PatientFormController,4,175,2,12,0,37,2,10,0,5
front,com.medilabo.solutions.front.controller,HomeController,0,81,0,0,0,16,0,3,0,3
front,com.medilabo.solutions.front.controller,NotesController,12,164,0,4,3,41,0,7,0,5
front,com.medilabo.solutions.front.dto,DiabetesRiskLevelEnum,42,0,0,0,9,0,3,0,3,0
front,com.medilabo.solutions.front.dto,PatientPageDto,9,0,0,0,3,0,3,0,3,0
front,com.medilabo.solutions.front,FrontApplication,5,3,0,0,2,1,1,1,1,1
