GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gateway,com.medilabo.solutions.gateway.util,JwtValidatorUtil,40,0,0,0,16,0,3,0,3,0
gateway,com.medilabo.solutions.gateway.config,SecurityConfig,72,0,0,0,18,0,6,0,6,0
gateway,com.medilabo.solutions.gateway.config,JwtValidationFilter,114,0,8,0,25,0,10,0,6,0
gateway,com.medilabo.solutions.gateway.config,JwtAuthenticationEntryPoint,82,0,2,0,16,0,6,0,5,0
gateway,com.medilabo.solutions.gateway,GatewayApplication,8,0,0,0,3,0,2,0,2,0
